"Nome Parlamentar","Partido","UF","Titular/Suplente/Efetivado","Endereço","Anexo","Endereço (continuação)","Gabinete","Endereço (complemento)","Telefone","Fax","Mês Aniversário","Dia Aniversário","Correio Eletrônico","Nome sem Acento","Tratamento","Nome Civil"
"CÉLIO STUDART","PV","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",519,"Brasília - DF - CEP 70160-900","3215-5519","3215-2519","06","19","dep.celiostudart@camara.leg.br","CELIO STUDART","Exmo. Senhor Deputado","CELIO STUDART BARBOSA"
"CELSO MALDANER","MDB","SC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",311,"Brasília - DF - CEP 70160-900","3215-5311","3215-2311","08","30","dep.celsomaldaner@camara.leg.br","CELSO MALDANER","Exmo. Senhor Deputado","CELSO MALDANER"
"CELSO RUSSOMANNO","REPUBLICANOS","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",960,"Brasília - DF - CEP 70160-900","3215-5960","3215-2960","08","20","dep.celsorussomanno@camara.leg.br","CELSO RUSSOMANNO","Exmo. Senhor Deputado","CELSO UBIRAJARA RUSSOMANNO"
"CELSO SABINO","PSDB","PA","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",282,"Brasília - DF - CEP 70160-900","3215-5282","3215-2282","08","29","dep.celsosabino@camara.leg.br","CELSO SABINO","Exmo. Senhor Deputado","CELSO SABINO DE OLIVEIRA"
"CEZINHA DE MADUREIRA ","PSD","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",533,"Brasília - DF - CEP 70160-900","3215-5533","3215-2533","12","12","dep.cezinhademadureira@camara.leg.br","CEZINHA DE MADUREIRA ","Exmo. Senhor Deputado","ANTONIO CEZAR CORREIA FREIRE"
"CHARLES FERNANDES","PSD","BA","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",587,"Brasília - DF - CEP 70160-900","3215-5587","3215-2587","03","15","dep.charlesfernandes@camara.leg.br","CHARLES FERNANDES","Exmo. Senhor Deputado","CHARLES FERNANDES SILVEIRA SANTANA"
"CHARLLES EVANGELISTA","PSL","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",517,"Brasília - DF - CEP 70160-900","3215-5517","3215-2517","12","27","dep.charllesevangelista@camara.leg.br","CHARLLES EVANGELISTA","Exmo. Senhor Deputado","CHARLLES THOMACELLI EVANGELISTA"
"CHICO D'ANGELO","PDT","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",542,"Brasília - DF - CEP 70160-900","3215-5542","3215-2542","02","11","dep.chicodangelo@camara.leg.br","CHICO D'ANGELO","Exmo. Senhor Deputado","FRANCISCO JOSÉ D'ANGELO PINTO"
"CHIQUINHO BRAZÃO","AVANTE","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",507,"Brasília - DF - CEP 70160-900","3215-5507","3215-2507","02","22","dep.chiquinhobrazao@camara.leg.br","CHIQUINHO BRAZAO","Exmo. Senhor Deputado","JOÃO FRANCISCO INÁCIO BRAZÃO"
"CHRIS TONIETTO","PSL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",446,"Brasília - DF - CEP 70160-900","3215-5446","3215-2446","05","14","dep.christonietto@camara.leg.br","CHRIS TONIETTO","Exma. Senhora Deputada","CHRISTINE NOGUEIRA DOS REIS TONIETTO"
"CHRISTIANE DE SOUZA YARED","PL","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",201,"Brasília - DF - CEP 70160-900","3215-5201","3215-2201","02","23","dep.christianedesouzayared@camara.leg.br","CHRISTIANE DE SOUZA YARED","Exma. Senhora Deputada","CHRISTIANE DE SOUZA YARED"
"CHRISTINO AUREO","PP","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",227,"Brasília - DF - CEP 70160-900","3215-5227","3215-2227","04","26","dep.christinoaureo@camara.leg.br","CHRISTINO AUREO","Exmo. Senhor Deputado","CHRISTINO AUREO DA SILVA"
"CLARISSA GAROTINHO","PROS","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",714,"Brasília - DF - CEP 70160-900","3215-5714","3215-2714","07","02","dep.clarissagarotinho@camara.leg.br","CLARISSA GAROTINHO","Exma. Senhora Deputada","CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA"
"CLAUDIO CAJADO","PP","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",630,"Brasília - DF - CEP 70160-900","3215-5630","3215-2630","12","01","dep.claudiocajado@camara.leg.br","CLAUDIO CAJADO","Exmo. Senhor Deputado","CLÁUDIO CAJADO SAMPAIO"
"CLEBER VERDE","REPUBLICANOS","MA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",710,"Brasília - DF - CEP 70160-900","3215-5710","3215-2710","05","10","dep.cleberverde@camara.leg.br","CLEBER VERDE","Exmo. Senhor Deputado","CLEBER VERDE CORDEIRO MENDES"
"CORONEL ARMANDO","PSL","SC","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",268,"Brasília - DF - CEP 70160-900","3215-5268","3215-2268","06","23","dep.coronelarmando@camara.leg.br","CORONEL ARMANDO","Exmo. Senhor Deputado","LUIZ ARMANDO SCHROEDER REIS"
"CORONEL CHRISÓSTOMO","PSL","RO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",458,"Brasília - DF - CEP 70160-900","3215-5458","3215-2458","06","23","dep.coronelchrisostomo@camara.leg.br","CORONEL CHRISOSTOMO","Exmo. Senhor Deputado","JOAO CHRISÓSTOMO DE MOURA"
"CORONEL TADEU","PSL","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",756,"Brasília - DF - CEP 70160-900","3215-5756","3215-2756","09","30","dep.coroneltadeu@camara.leg.br","CORONEL TADEU","Exmo. Senhor Deputado","MARCIO TADEU ANHAIA DE LEMOS"
"COVATTI FILHO","PP","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",228,"Brasília - DF - CEP 70160-900","3215-5228","3215-2228","07","25","dep.covattifilho@camara.leg.br","COVATTI FILHO","Exmo. Senhor Deputado","LUIS ANTONIO FRANCISCATTO COVATTI"
"CRISTIANO VALE","PL","PA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",822,"Brasília - DF - CEP 70160-900","3215-5822","3215-2822","04","10","dep.cristianovale@camara.leg.br","CRISTIANO VALE","Exmo. Senhor Deputado","CRISTIANO DUTRA VALE"
"DA VITORIA","CIDADANIA","ES","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",579,"Brasília - DF - CEP 70160-900","3215-5579","3215-2579","06","02","dep.davitoria@camara.leg.br","DA VITORIA","Exmo. Senhor Deputado","JOSIAS MARIO DA VITORIA"
"DAGOBERTO NOGUEIRA","PDT","MS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",522,"Brasília - DF - CEP 70160-900","3215-5522","3215-2522","07","21","dep.dagobertonogueira@camara.leg.br","DAGOBERTO NOGUEIRA","Exmo. Senhor Deputado","DAGOBERTO NOGUEIRA FILHO"
"DAMIÃO FELICIANO","PDT","PB","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",938,"Brasília - DF - CEP 70160-900","3215-5938","3215-2938","04","28","dep.damiaofeliciano@camara.leg.br","DAMIAO FELICIANO","Exmo. Senhor Deputado","DAMIÃO FELICIANO DA SILVA"
"DANIEL ALMEIDA","PCdoB","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",317,"Brasília - DF - CEP 70160-900","3215-5317","3215-2317","01","21","dep.danielalmeida@camara.leg.br","DANIEL ALMEIDA","Exmo. Senhor Deputado","DANIEL GOMES DE ALMEIDA"
"DANIEL COELHO","CIDADANIA","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",813,"Brasília - DF - CEP 70160-900","3215-5813","3215-2813","11","04","dep.danielcoelho@camara.leg.br","DANIEL COELHO","Exmo. Senhor Deputado","DANIEL PIRES COELHO"
"DANIEL FREITAS","PSL","SC","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",273,"Brasília - DF - CEP 70160-900","3215-5273","3215-2273","04","03","dep.danielfreitas@camara.leg.br","DANIEL FREITAS","Exmo. Senhor Deputado","DANIEL COSTA DE FREITAS"
"DANIEL SILVEIRA","PSL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",403,"Brasília - DF - CEP 70160-900","3215-5403","3215-2403","11","25","dep.danielsilveira@camara.leg.br","DANIEL SILVEIRA","Exmo. Senhor Deputado","DANIEL LUCIO DA SILVEIRA"
"DANIEL TRZECIAK","PSDB","RS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",917,"Brasília - DF - CEP 70160-900","3215-5917","3215-2917","11","04","dep.danieltrzeciak@camara.leg.br","DANIEL TRZECIAK","Exmo. Senhor Deputado","DANIEL TRZECIAK DUARTE"
"DANIELA DO WAGUINHO","MDB","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",950,"Brasília - DF - CEP 70160-900","3215-5950","3215-2950","02","10","dep.danieladowaguinho@camara.leg.br","DANIELA DO WAGUINHO","Exma. Senhora Deputada","DANIELA MOTE DE SOUZA CARNEIRO"
"DANILO CABRAL","PSB","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",423,"Brasília - DF - CEP 70160-900","3215-5423","3215-2423","04","21","dep.danilocabral@camara.leg.br","DANILO CABRAL","Exmo. Senhor Deputado","DANILO JORGE DE BARROS CABRAL"
"DANRLEI DE DEUS HINTERHOLZ","PSD","RS","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",566,"Brasília - DF - CEP 70160-900","3215-5566","3215-2566","04","18","dep.danrleidedeushinterholz@camara.leg.br","DANRLEI DE DEUS HINTERHOLZ","Exmo. Senhor Deputado","DANRLEI DE DEUS HINTERHOLZ"
"DARCI DE MATOS","PSD","SC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",709,"Brasília - DF - CEP 70160-900","3215-5709","3215-2709","11","08","dep.darcidematos@camara.leg.br","DARCI DE MATOS","Exmo. Senhor Deputado","DARCI DE MATOS"
"DARCÍSIO PERONDI","MDB","RS","S","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",927,"Brasília - DF - CEP 70160-900","3215-5927","3215-2927","04","02","dep.darcisioperondi@camara.leg.br","DARCISIO PERONDI","Exmo. Senhor Deputado","DARCÍSIO PAULO PERONDI"
"DAVID MIRANDA","PSOL","RJ","E","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",267,"Brasília - DF - CEP 70160-900","3215-5267","3215-2267","05","10","dep.davidmiranda@camara.leg.br","DAVID MIRANDA","Exmo. Senhor Deputado","DAVID MICHAEL DOS SANTOS MIRANDA"
"DAVID SOARES","DEM","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",741,"Brasília - DF - CEP 70160-900","3215-5741","3215-2741","12","21","dep.davidsoares@camara.leg.br","DAVID SOARES","Exmo. Senhor Deputado","DAVID BEZERRA RIBEIRO SOARES"
"DELEGADO ANTÔNIO FURTADO","PSL","RJ","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",602,"Brasília - DF - CEP 70160-900","3215-5602","3215-2602","01","06","dep.delegadoantoniofurtado@camara.leg.br","DELEGADO ANTONIO FURTADO","Exmo. Senhor Deputado","ANTÔNIO DA LUZ FURTADO"
"DELEGADO ÉDER MAURO","PSD","PA","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",586,"Brasília - DF - CEP 70160-900","3215-5586","3215-2586","12","14","dep.delegadoedermauro@camara.leg.br","DELEGADO EDER MAURO","Exmo. Senhor Deputado","EDER MAURO CARDOSO BARRA"
"DELEGADO MARCELO FREITAS","PSL","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",548,"Brasília - DF - CEP 70160-900","3215-5548","3215-2548","03","04","dep.delegadomarcelofreitas@camara.leg.br","DELEGADO MARCELO FREITAS","Exmo. Senhor Deputado","MARCELO EDUARDO FREITAS"
"DELEGADO PABLO","PSL","AM","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",373,"Brasília - DF - CEP 70160-900","3215-5373","3215-2373","07","26","dep.delegadopablo@camara.leg.br","DELEGADO PABLO","Exmo. Senhor Deputado","PABLO OLIVA SOUZA"
"DELEGADO WALDIR","PSL","GO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",645,"Brasília - DF - CEP 70160-900","3215-5645","3215-2645","11","28","dep.delegadowaldir@camara.leg.br","DELEGADO WALDIR","Exmo. Senhor Deputado","WALDIR SOARES DE OLIVEIRA"
"DENIS BEZERRA","PSB","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",625,"Brasília - DF - CEP 70160-900","3215-5625","3215-2625","03","17","dep.denisbezerra@camara.leg.br","DENIS BEZERRA","Exmo. Senhor Deputado","DENIS ANDERSON DA ROCHA BEZERRA"
"DIEGO ANDRADE","PSD","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",307,"Brasília - DF - CEP 70160-900","3215-5307","3215-2307","08","08","dep.diegoandrade@camara.leg.br","DIEGO ANDRADE","Exmo. Senhor Deputado","DIEGO LEONARDO DE ANDRADE CARVALHO"
"DIEGO GARCIA","PODE","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",910,"Brasília - DF - CEP 70160-900","3215-5910","3215-2910","10","10","dep.diegogarcia@camara.leg.br","DIEGO GARCIA","Exmo. Senhor Deputado","DIEGO ALEXSANDER GONCALO PAULA GARCIA"
"DIMAS FABIANO","PP","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",736,"Brasília - DF - CEP 70160-900","3215-5736","3215-2736","05","23","dep.dimasfabiano@camara.leg.br","DIMAS FABIANO","Exmo. Senhor Deputado","DIMAS FABIANO TOLEDO JÚNIOR"
"DOMINGOS NETO","PSD","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",546,"Brasília - DF - CEP 70160-900","3215-5546","3215-2546","04","29","dep.domingosneto@camara.leg.br","DOMINGOS NETO","Exmo. Senhor Deputado","DOMINGOS GOMES DE AGUIAR NETO"
"DOMINGOS SÁVIO","PSDB","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",345,"Brasília - DF - CEP 70160-900","3215-5345","3215-2345","03","25","dep.domingossavio@camara.leg.br","DOMINGOS SAVIO","Exmo. Senhor Deputado","DOMINGOS SÁVIO CAMPOS RESENDE"
"DR. FREDERICO","PATRIOTA","MG","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",568,"Brasília - DF - CEP 70160-900","3215-5568","3215-2568","03","24","dep.dr.frederico@camara.leg.br","DR. FREDERICO","Exmo. Senhor Deputado","FREDERICO DE CASTRO ESCALEIRA"
"DR. JAZIEL","PL","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",705,"Brasília - DF - CEP 70160-900","3215-5705","3215-2705","05","03","dep.dr.jaziel@camara.leg.br","DR. JAZIEL","Exmo. Senhor Deputado","JAZIEL PEREIRA DE SOUSA"
"DR. LEONARDO","SOLIDARIEDADE","MT","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",445,"Brasília - DF - CEP 70160-900","3215-5445","3215-2445","06","14","dep.dr.leonardo@camara.leg.br","DR. LEONARDO","Exmo. Senhor Deputado","LEONARDO RIBEIRO ALBUQUERQUE"
"DR. LUIZ ANTONIO TEIXEIRA JR.","PP","RJ","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",577,"Brasília - DF - CEP 70160-900","3215-5577","3215-2577","12","15","dep.dr.luizantonioteixeirajr@camara.leg.br","DR. LUIZ ANTONIO TEIXEIRA JR.","Exmo. Senhor Deputado","LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR"
"DR. LUIZ OVANDO","PSL","MS","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",644,"Brasília - DF - CEP 70160-900","3215-5644","3215-2644","09","25","dep.dr.luizovando@camara.leg.br","DR. LUIZ OVANDO","Exmo. Senhor Deputado","LUIZ ALBERTO OVANDO"
"DR. ZACHARIAS CALIL","DEM","GO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",616,"Brasília - DF - CEP 70160-900","3215-5616","3215-2616","11","05","dep.dr.zachariascalil@camara.leg.br","DR. ZACHARIAS CALIL","Exmo. Senhor Deputado","ZACARIAS CALIL HAMU"
"DRA. SORAYA MANATO","PSL","ES","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",313,"Brasília - DF - CEP 70160-900","3215-5313","3215-2313","03","10","dep.dra.sorayamanato@camara.leg.br","DRA. SORAYA MANATO","Exma. Senhora Deputada","SORAYA DE SOUZA MANNATO"
"DRA. VANDA MILANI","SOLIDARIEDADE","AC","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",516,"Brasília - DF - CEP 70160-900","3215-5516","3215-2516","09","17","dep.dra.vandamilani@camara.leg.br","DRA. VANDA MILANI","Exma. Senhora Deputada","VANDA DENIR MILANI NOGUEIRA"
"DULCE MIRANDA","MDB","TO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",530,"Brasília - DF - CEP 70160-900","3215-5530","3215-2530","12","15","dep.dulcemiranda@camara.leg.br","DULCE MIRANDA","Exma. Senhora Deputada","DULCE FERREIRA PAGANI MIRANDA"
"EDILÁZIO JÚNIOR","PSD","MA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",862,"Brasília - DF - CEP 70160-900","3215-5862","3215-2862","05","04","dep.edilaziojunior@camara.leg.br","EDILAZIO JUNIOR","Exmo. Senhor Deputado","EDILAZIO GOMES DA SILVA JUNIOR"
"EDIO LOPES","PL","RR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",408,"Brasília - DF - CEP 70160-900","3215-5408","3215-2408","01","04","dep.ediolopes@camara.leg.br","EDIO LOPES","Exmo. Senhor Deputado","ÉDIO VIEIRA LOPES"
"EDMILSON RODRIGUES","PSOL","PA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",301,"Brasília - DF - CEP 70160-900","3215-5301","3215-2301","05","26","dep.edmilsonrodrigues@camara.leg.br","EDMILSON RODRIGUES","Exmo. Senhor Deputado","EDMILSON BRITO RODRIGUES"
"EDNA HENRIQUE","PSDB","PB","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",962,"Brasília - DF - CEP 70160-900","3215-5962","3215-2962","09","04","dep.ednahenrique@camara.leg.br","EDNA HENRIQUE","Exma. Senhora Deputada","EDNACE ALVES SILVESTRE HENRIQUE"
"EDUARDO BARBOSA","PSDB","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",540,"Brasília - DF - CEP 70160-900","3215-5540","3215-2540","08","25","dep.eduardobarbosa@camara.leg.br","EDUARDO BARBOSA","Exmo. Senhor Deputado","EDUARDO LUIZ BARROS BARBOSA"
"EDUARDO BISMARCK","PDT","CE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",652,"Brasília - DF - CEP 70160-900","3215-5652","3215-2652","11","14","dep.eduardobismarck@camara.leg.br","EDUARDO BISMARCK","Exmo. Senhor Deputado","EDUARDO HENRIQUE MAIA BISMARCK"
"EDUARDO BOLSONARO","PSL","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",350,"Brasília - DF - CEP 70160-900","3215-5350","3215-2350","07","10","dep.eduardobolsonaro@camara.leg.br","EDUARDO BOLSONARO","Exmo. Senhor Deputado","EDUARDO NANTES BOLSONARO"
"EDUARDO BRAIDE","PMN","MA","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",578,"Brasília - DF - CEP 70160-900","3215-5578","3215-2578","01","12","dep.eduardobraide@camara.leg.br","EDUARDO BRAIDE","Exmo. Senhor Deputado","EDUARDO SALIM BRAIDE"
"EDUARDO COSTA","PTB","PA","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",286,"Brasília - DF - CEP 70160-900","3215-5286","3215-2286","02","16","dep.eduardocosta@camara.leg.br","EDUARDO COSTA","Exmo. Senhor Deputado","JOSE EDUARDO PEREIRA DA COSTA"
"EDUARDO CURY","PSDB","SP","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",368,"Brasília - DF - CEP 70160-900","3215-5368","3215-2368","09","19","dep.eduardocury@camara.leg.br","EDUARDO CURY","Exmo. Senhor Deputado","EDUARDO PEDROSA CURY"
"EDUARDO DA FONTE","PP","PE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",628,"Brasília - DF - CEP 70160-900","3215-5628","3215-2628","10","17","dep.eduardodafonte@camara.leg.br","EDUARDO DA FONTE","Exmo. Senhor Deputado","EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA"
"EFRAIM FILHO","DEM","PB","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",744,"Brasília - DF - CEP 70160-900","3215-5744","3215-2744","03","18","dep.efraimfilho@camara.leg.br","EFRAIM FILHO","Exmo. Senhor Deputado","EFRAIM DE ARAÚJO MORAIS FILHO"
"ELCIONE BARBALHO","MDB","PA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",206,"Brasília - DF - CEP 70160-900","3215-5206","3215-2206","10","05","dep.elcionebarbalho@camara.leg.br","ELCIONE BARBALHO","Exma. Senhora Deputada","ELCIONE THEREZINHA ZAHLUTH BARBALHO"
"ELI BORGES","SOLIDARIEDADE","TO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",248,"Brasília - DF - CEP 70160-900","3215-5248","3215-2248","09","01","dep.eliborges@camara.leg.br","ELI BORGES","Exmo. Senhor Deputado","ELI DIAS BORGES"
"ELI CORRÊA FILHO","DEM","SP","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",850,"Brasília - DF - CEP 70160-900","3215-5850","3215-2850","01","13","dep.elicorreafilho@camara.leg.br","ELI CORREA FILHO","Exmo. Senhor Deputado","ADRIANO ELI CORRÊA"
"ELIAS VAZ","PSB","GO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",303,"Brasília - DF - CEP 70160-900","3215-5303","3215-2303","07","04","dep.eliasvaz@camara.leg.br","ELIAS VAZ","Exmo. Senhor Deputado","ELIAS VAZ DE ANDRADE"
"ELMAR NASCIMENTO","DEM","BA","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",935,"Brasília - DF - CEP 70160-900","3215-5935","3215-2935","07","06","dep.elmarnascimento@camara.leg.br","ELMAR NASCIMENTO","Exmo. Senhor Deputado","ELMAR JOSE VIEIRA NASCIMENTO"
"EMANUEL PINHEIRO NETO","PTB","MT","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",374,"Brasília - DF - CEP 70160-900","3215-5374","3215-2374","01","05","dep.emanuelpinheironeto@camara.leg.br","EMANUEL PINHEIRO NETO","Exmo. Senhor Deputado","EMANUEL PINHEIRO DA SILVA PRIMO"
"EMIDINHO MADEIRA","PSB","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",837,"Brasília - DF - CEP 70160-900","3215-5837","3215-2837","03","10","dep.emidinhomadeira@camara.leg.br","EMIDINHO MADEIRA","Exmo. Senhor Deputado","EMIDIO ALVES MADEIRA JUNIOR"
"ENÉIAS REIS","PSL","MG","S","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",824,"Brasília - DF - CEP 70160-900","3215-5824","3215-2824","11","05","dep.eneiasreis@camara.leg.br","ENEIAS REIS","Exmo. Senhor Deputado","ENEIAS JOSÉ DOS REIS"
"ENIO VERRI","PT","PR","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",627,"Brasília - DF - CEP 70160-900","3215-5627","3215-2627","03","27","dep.enioverri@camara.leg.br","ENIO VERRI","Exmo. Senhor Deputado","ENIO JOSÉ VERRI"
"ENRICO MISASI","PV","SP","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",574,"Brasília - DF - CEP 70160-900","3215-5574","3215-2574","08","06","dep.enricomisasi@camara.leg.br","ENRICO MISASI","Exmo. Senhor Deputado","ENRICO VAN BLARCUM DE GRAAFF MISASI"
"ERIKA KOKAY","PT","DF","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",203,"Brasília - DF - CEP 70160-900","3215-5203","3215-2203","08","15","dep.erikakokay@camara.leg.br","ERIKA KOKAY","Exma. Senhora Deputada","ÉRIKA JUCÁ KOKAY"
"EROS BIONDINI","PROS","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",321,"Brasília - DF - CEP 70160-900","3215-5321","3215-2321","05","20","dep.erosbiondini@camara.leg.br","EROS BIONDINI","Exmo. Senhor Deputado","EROS FERREIRA BIONDINI"
"EUCLYDES PETTERSEN","PSC","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",456,"Brasília - DF - CEP 70160-900","3215-5456","3215-2456","08","15","dep.euclydespettersen@camara.leg.br","EUCLYDES PETTERSEN","Exmo. Senhor Deputado","EUCLYDES MARCOS PETTERSEN NETO"
"EVAIR VIEIRA DE MELO","PP","ES","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",443,"Brasília - DF - CEP 70160-900","3215-5443","3215-2443","04","02","dep.evairvieirademelo@camara.leg.br","EVAIR VIEIRA DE MELO","Exmo. Senhor Deputado","EVAIR VIEIRA DE MELO"
"EXPEDITO NETTO","PSD","RO","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",943,"Brasília - DF - CEP 70160-900","3215-5943","3215-2943","10","05","dep.expeditonetto@camara.leg.br","EXPEDITO NETTO","Exmo. Senhor Deputado","EXPEDITO GONCALVES FERREIRA NETTO"
"FABIANO TOLENTINO","CIDADANIA","MG","S","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",806,"Brasília - DF - CEP 70160-900","3215-5806","3215-2806","02","25","dep.fabianotolentino@camara.leg.br","FABIANO TOLENTINO","Exmo. Senhor Deputado","FABIANO GALLETTI TOLENTINO"
"FÁBIO FARIA","PSD","RN","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",706,"Brasília - DF - CEP 70160-900","3215-5706","3215-2706","09","01","dep.fabiofaria@camara.leg.br","FABIO FARIA","Exmo. Senhor Deputado","FÁBIO SALUSTINO MESQUITA DE FARIA"
"FÁBIO HENRIQUE","PDT","SE","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",475,"Brasília - DF - CEP 70160-900","3215-5475","3215-2475","06","19","dep.fabiohenrique@camara.leg.br","FABIO HENRIQUE","Exmo. Senhor Deputado","FABIO HENRIQUE SANTANA DE CARVALHO"
"FÁBIO MITIDIERI","PSD","SE","T","Câmara dos Deputados, Edifício Anexo","3",", gabinete nº",278,"Brasília - DF - CEP 70160-900","3215-5278","3215-2278","02","24","dep.fabiomitidieri@camara.leg.br","FABIO MITIDIERI","Exmo. Senhor Deputado","FABIO CRUZ MITIDIERI"
"FÁBIO RAMALHO","MDB","MG","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",638,"Brasília - DF - CEP 70160-900","3215-5638","3215-2638","12","22","dep.fabioramalho@camara.leg.br","FABIO RAMALHO","Exmo. Senhor Deputado","FÁBIO AUGUSTO RAMALHO DOS SANTOS"
"FABIO REIS","MDB","SE","T","Câmara dos Deputados, Edifício Anexo","4",", gabinete nº",410,"Brasília - DF - CEP 70160-900","3215-5410","3215-2410","04","15","dep.fabioreis@camara.leg.br","FABIO REIS","Exmo. Senhor Deputado","FABIO DE ALMEIDA REIS"
